ParticipantID,Time Proportion,Frequency,Cluster No
16ky11oz,3193.813,13.14286,0
1inrrtl3,2705.579,3.0,1
1o52ntll,1753.10442,2.5,1
1rroql96,2503.68057,6.0,1
23pupbua,3848.97751,20.75556,0
2agrmb9j,17.04023,0.35385,1
2ys1mtz4,373.54558,5.66667,1
5fnn617w,1230.49866,3.13793,1
5y1tpee8,4609.93564,19.63636,0
7jjv4pei,2188.20324,16.93333,1
7l4pv8bf,1463.72327,3.46667,1
9d7ophe4,2288.70889,4.66667,1
bjix62jd,4032.8105,1.35,0
bqu752bx,3994.72371,8.42857,0
c5qbpnue,6583.21967,9.33333,0
cex9tpjq,1528.66475,4.5,1
cjhvlipu,161.573,1.0,1
d2mtvihs,1637.544,9.33333,1
d7gcjmit,2492.63812,9.0,1
e58idwax,527.9775,1.0,1
fu2ofh8b,0.0,0.0,1
fwowc4r9,2214.00871,9.0,1
hoeftdw5,7272.74296,16.81481,0
jvyctuat,3604.00533,7.66667,0
k66z4nfv,17.76523,0.53846,1
kzes28mw,80.47937,0.57895,1
l4lycy4a,4930.92532,27.14286,0
l7tsmmge,891.58439,6.05556,1
lpg9axpp,2481.24718,20.34211,1
lx3vdgbn,3773.61571,12.42857,0
mguewihd,1233.7238,2.8,1
nb2gakhp,2769.14029,9.85714,1
ry9whk1i,1443.12261,4.66102,1
uynoyz3s,2621.34325,7.25,1
vawn7ykh,890.417,8.25,1
w4h8wmub,1678.44417,16.16667,1
